iter	Passed	Remaining
0	4	1294
1	8	1214
2	12	1239
3	16	1205
4	20	1188
5	24	1185
6	28	1172
7	31	1159
8	35	1143
9	39	1148
10	43	1146
11	47	1136
12	51	1138
13	55	1133
14	59	1129
15	63	1122
16	67	1118
17	71	1113
18	74	1108
19	78	1104
20	83	1105
21	87	1102
22	91	1101
23	95	1095
24	100	1101
25	103	1095
26	107	1090
27	111	1083
28	115	1080
29	119	1074
30	123	1070
31	127	1065
32	131	1060
33	134	1055
34	138	1051
35	142	1047
36	146	1044
37	150	1039
38	154	1036
39	158	1032
40	162	1026
41	166	1020
42	169	1015
43	173	1010
44	177	1006
45	182	1005
46	185	1000
47	190	998
48	194	996
49	198	994
50	202	989
51	206	985
52	210	982
53	214	977
54	218	973
55	222	969
56	226	966
57	230	961
58	234	957
59	238	953
60	242	951
61	246	946
62	251	944
63	254	939
64	259	937
65	263	934
66	267	928
67	271	924
68	275	921
69	279	916
70	282	912
71	286	908
72	290	904
73	295	901
74	298	896
75	302	891
76	306	887
77	310	883
78	314	880
79	318	876
80	322	871
81	326	867
82	330	862
83	334	859
84	338	856
85	342	851
86	346	847
87	350	843
88	354	840
89	358	835
90	361	831
91	366	827
92	369	823
93	374	820
94	378	815
95	382	812
96	385	807
97	389	803
98	394	800
99	397	795
100	401	791
101	405	788
102	410	784
103	414	780
104	418	776
105	421	772
106	425	768
107	430	764
108	433	760
109	437	755
110	441	750
111	444	746
112	448	741
113	453	739
114	457	735
115	460	731
116	465	727
117	468	723
118	472	719
119	476	715
120	480	711
121	484	706
122	488	702
123	492	699
124	496	694
125	500	690
126	504	687
127	509	683
128	513	680
129	516	675
130	520	671
131	524	668
132	528	664
133	533	660
134	536	656
135	540	651
136	544	647
137	548	643
138	552	639
139	556	636
140	560	631
141	564	628
142	568	624
143	572	619
144	576	616
145	580	612
146	585	609
147	589	605
148	594	602
149	599	599
150	603	595
151	607	591
152	611	587
153	615	583
154	619	579
155	623	575
156	627	571
157	632	568
158	636	564
159	640	560
160	645	556
161	649	553
162	653	549
163	658	545
164	662	541
165	666	537
166	670	534
167	674	529
168	678	526
169	682	522
170	686	518
171	690	514
172	694	509
173	698	506
174	702	501
175	706	497
176	712	494
177	716	490
178	720	486
179	724	482
180	728	479
181	732	474
182	736	470
183	740	466
184	744	462
185	748	459
186	752	454
187	756	450
188	760	446
189	765	442
190	769	439
191	773	435
192	777	431
193	781	427
194	786	423
195	790	419
196	794	415
197	798	411
198	802	407
199	807	403
200	811	399
201	815	395
202	819	391
203	824	387
204	828	383
205	832	379
206	835	375
207	840	371
208	844	367
209	848	363
210	852	359
211	856	355
212	859	351
213	864	347
214	868	343
215	872	339
216	876	335
217	880	331
218	884	327
219	889	323
220	893	319
221	897	315
222	901	311
223	905	307
224	909	303
225	913	299
226	917	295
227	921	291
228	925	287
229	930	283
230	934	279
231	938	275
232	942	271
233	946	266
234	950	262
235	954	258
236	958	254
237	962	250
238	966	246
239	970	242
240	974	238
241	978	234
242	983	230
243	988	226
244	992	222
245	995	218
246	999	214
247	1004	210
248	1008	206
249	1012	202
250	1016	198
251	1020	194
252	1024	190
253	1028	186
254	1032	182
255	1036	178
256	1040	174
257	1045	170
258	1048	166
259	1053	162
260	1057	158
261	1061	154
262	1065	149
263	1069	145
264	1073	141
265	1078	137
266	1082	133
267	1085	129
268	1090	125
269	1093	121
270	1098	117
271	1102	113
272	1106	109
273	1110	105
274	1114	101
275	1118	97
276	1122	93
277	1126	89
278	1131	85
279	1135	81
280	1139	77
281	1143	72
282	1146	68
283	1150	64
284	1155	60
285	1159	56
286	1163	52
287	1167	48
288	1171	44
289	1175	40
290	1179	36
291	1183	32
292	1188	28
293	1192	24
294	1195	20
295	1199	16
296	1204	12
297	1207	8
298	1212	4
299	1215	0
